"pizza_name","total_small_cost","total_medium_cost","total_large_cost"
"The Barbecue Chicken Pizza",6.148,8.788,11.828
"The Big Meat Pizza",7.398,10.288,13.578
"The Brie Carre Pizza",7.398,10.538,14.078
"The Calabrese Pizza",5.398,7.788,10.578
"The California Chicken Pizza",8.148,11.788,15.828
"The Chicken Alfredo Pizza",6.648,9.538,12.828
"The Chicken Pesto Pizza",6.398,9.038,12.078
"The Classic Deluxe Pizza",5.648,8.288,11.328
"The Five Cheese Pizza",7.898,11.538,15.578
"The Four Cheese Pizza",7.148,10.288,13.828
"The Greek Pizza",6.898,9.788,13.078
"The Green Garden Pizza",5.398,7.788,10.578
"The Hawaiian Pizza",4.898,7.038,9.578
"The Italian Capocollo Pizza",6.648,9.538,12.828
"The Italian Supreme Pizza",6.898,9.788,13.078
"The Italian Vegetables Pizza",6.648,10.038,13.828
"The Mediterranean Pizza",6.648,9.788,13.328
"The Mexicana Pizza",5.648,8.538,11.828
"The Napolitana Pizza",4.898,7.288,10.078
"The Pepper Salami Pizza",8.148,11.538,15.328
"The Pepperoni Pizza",4.398,6.288,8.578
"The Pepperoni Mushroom and Peppers Pizza",4.398,6.288,8.578
"The Prosciutto and Arugula Pizza",5.898,8.038,10.578
"The Sicilian Pizza",6.898,9.788,13.078
"The Soppressata Pizza",6.898,9.788,13.078
"The Southwest Chicken Pizza",6.898,10.038,13.578
"The Spicy Italian Pizza",7.148,10.288,13.828
"The Spinach Pesto Pizza",5.898,8.538,11.578
"The Spinach Supreme Pizza",7.148,10.788,14.828
"The Spinach and Feta Pizza",4.898,7.288,10.078
"The Thai Chicken Pizza",5.898,8.288,11.078
"The Vegetables + Vegetables Pizza",6.148,9.288,12.828
